BIBLIOTECA;;;;;;;
GENERE;TITOLO;AUTORE;CASA EDITRICE;ANNO;LUOGO;;
FISICA;Il fisico che visse due volte;Fabio Toscano;Sironi Editore;2008;SALA;;
FISICA;La relatività con le quattro operazioni;Clement V. Durell;Boringhieri Editore;1967;SALA;;
FISICA;La Creazione;Barry Parker;Edizione CDE spa Milano;1992;SALA;;
FISICA;Dal Big bang ai buchi neri;Stephen Hawking;Rizzoli Editore;1980;SALA;;
FISICA;Universo senza fine;Venzo De Sabbata;Corso Editore Ferrara;1978;SALA;;
FISICA;Teoria dei quanti di luce;Albet Einstein;Newton;1972;SALA;;
FISICA;Buchi neri e universi neonati;Stephen Hawking;Rizzoli Editore;2000;SALA;;
FISICA;Come io vedo il mondo La teoria della relatività;Albert Einstein;Newton;1988;SALA;;
FISICA;La particella di Dio;Leon Lederman;Mondadori Editore;1998;SALA;;
FISICA;L'enigma dell'infinito;Frank Close;Einaudi Editore;2016;SALA;;
FISICA;Aristotele, Einstein e gli altri;Ernst Peter Fisher;Edizione CDE spa Milano;1998;SALA;;
FISICA;Da Fermi a Rubbia;Lanfranco Belloni;Rizzoli Editore;1988;SALA;;
FISICA;Buchi neri e universi neonati;Stephen W Hawking;Rizzoli Editore;1993;SALA;;
FISICA;Il cantico dei quanti;Sven Ortoli;Edizione CDE spa Milano;1991;SALA;;
FISICA;Relatività esposizione divulgativa;Albert Einstein;Boringhieri Editore;1967;MONTELABBATE;;
FISICA;La luna nel pozzo cosmico;John D. Barrow;Adeplphi Editore;1994;SALA;;
FISICA;La legge fisica;Richard Feynman;Boringhieri Editore;1996;SALA;;
FISICA;La fisica dei quanti;Carlo Bernardini;Le scienze;1986;SALA;;
FISICA;La meccanica quantistica;Roberto Battiston;Castelvecchi;2018;CORRIDOIO;;
FISICA;Materia ed antimateria;Vari;Le scienze;1989;SALA;;
FISICA;Atomi e nuclei;Carlo Bernardini;Le scienze;1988;SALA;;
FISICA;La fisica delle particelle;Luciano Maiani;Le scienze;1998;SALA;;
FISICA;Spazio, Tempo e relatività;Fernando De Felice;Le scienze;1994;SALA;;
FISICA;Fisica vol I;Pietro Silva;Paravia;1965;SALA;;
FISICA;Il realismo scientifico;Evandro Agazzi;Editrice Montefeltro;2009;CORRIDOIO;;
FISICA;Filosofia della microfisica;Gino Tarozzi;Mucchi;1992;CORRIDOIO;;
FISICA;Fisica Vol II;Pietro Silva;Paravia;1965;CORRIDOIO;;
FISICA;Phisica Vol I;Catforio-Ferilli;Le Monnier;1989;CORRIDOIO;;
FISICA;Phisica Vol II;Catforio-Ferilli;Le Monnier;1989;CORRIDOIO;;
FISICA;La fabbrica delle particelle;Vari;Collana Marche scienza;2008;CORRIDOIO;;
FISICA;La fabbrica delle particelle;Vari;Collana Marche scienza;2008;CORRIDOIO;;
FISICA;Da Galileo ad Einstein;Antonio Vitale-Carlo Rubbia;Collana Marche scienza;2007;CORRIDOIO;;
FISICA;Fisica atomica Vol I;E.V. Spolskij;Edizioni Mir;1986;CORRIDOIO;;
FISICA;Fisica atomica Vol II;E.V. Spolskij;Edizioni Mir;1986;CORRIDOIO;;
FISICA;Relatività ed esistenza;Giuseppe Arcidiacono;Il Fuoco Roma;1981;CORRIDOIO;;
FISICA;Physica Vol I;Caforio-Ferilli;Le Monnier;1987;CORRIDOIO;;
FISICA;Albert aveva ragione Dio non gioca a dadi;Walter E.R. Cassani;AASA;1994;CORRIDOIO;;
FISICA;Fisica;Resnick Halliday;Casa editrice Ambrosiana;1982;CORRIDOIO;;
FISICA;Da Galileo ad Einstein;Antonio Vitale-Carlo Rubbia;Collana Marche scienza;2007;CORRIDOIO;;
FISICA;The Science of Can and Can't;Chiara Marletto;Viking;2021;CAMERA L;;
FUMETTO;Dragon Ball;Akira Toriyama;Star;1990;CORRIDOIO;;
FUMETTO;L'uomo Ragno;Vari;Mondadori Editore;2010;CORRIDOIO;;
FUMETTO;Maximum Berserk vol 1;Kentaro Miura;Enrico Fornaroli editore;2004;CAMERA L;;
FUMETTO;Maximum Berserk vol 9;Kentaro Miura;Enrico Fornaroli editore;2006;CAMERA L;;
GEOLOGIA;Il rischio sismico;Enzo Boschi;Le scienze;1991;SALA;;
GUIDA;Guida ai musei, monumenti di Roma;Vari;Stilgrafica srl;1990;CORRIDOIO;;
GUIDA;Gli orologi e la misura del tempo;Gustav Kruger;Capitol Bologna;1995;CORRIDOIO;;
GUIDA;Pollino;Martino Licursi;Edizioni il Coscile;1992;CORRIDOIO;;
GUIDA;Musei nel riminese tra arte e storia;Vari;Provincia di Rimini;2011;CORRIDOIO;;
GUIDA;Guida di viaggio Sardegna;Vari;Regione Sardegna;2008;CORRIDOIO;;
GUIDA;E cammina e cammina Sardegna;Vari;Regione Sardegna;2008;CORRIDOIO;;
GUIDA;Guida ai beno culturali Sardegna;Vari;Regione Sardegna;2008;CORRIDOIO;;
GUIDA;Paesaggi d'autore Sardegna;Vari;Regione Sardegna;2008;CORRIDOIO;;
GUIDA;Forli percorsi nella città;Vari;Assessorato al turismo;2004;CORRIDOIO;;
GUIDA;Assisi;Vari;Comune di Assisi;2000;CORRIDOIO;;
GUIDA;Piccola guida agli scavi di Ercolano;Vari;Zelig Editore;2001;CORRIDOIO;;
GUIDA;Qui Napoli;Vari;Az Autonoma di soggiorno;2005;CORRIDOIO;;
GUIDA;La Reggia di Caserta;Vari;Az Autonoma di soggiorno;2005;CORRIDOIO;;
GUIDA;Aerei da combattimento;Jane's Collins;Vallardi;1996;CORRIDOIO;;
GUIDA;Pesaro;Vari;Comune di Pesaro;2010;CORRIDOIO;;
GUIDA;Wolfsburg;Vari;Impressum;2009;CORRIDOIO;;
GUIDA;Giocattoli di pezza;Cheryl Owen;Edizione CDE spa Milano;1991;CORRIDOIO;;
GUIDA;Valtrebbia;Vari;Sagep;1991;CORRIDOIO;;
GUIDA;Manuale formativo per la leva;Vari;Stabilimento grafico militare;1991;CORRIDOIO;;
GUIDA;Il servizio di leva nell Aeronautica Militare;Vari;Stabilimento grafico militare;1987;CORRIDOIO;;
GUIDA;Catalogo Sassone blu;Vari;Sassone editrice;1981;CORRIDOIO;;
GUIDA;I segnalibri;Claudia Vanzolini;AVO;2009;CORRIDOIO;;
GUIDA;I segnalibri;Claudia Vanzolini;AVO;2009;CORRIDOIO;;
GUIDA;Bugatti una leggenda legata Italia;Vari;Artioli editore;2018;CAMERA L;;
GUIDA;I segnalibri;Claudia Vanzolini;AVO;2009;CAMERA L;;
GUIDA;I segnalibri;Claudia Vanzolini;AVO;2009;CAMERA L;;
INFORMATICA;La scienza dei calcolatori;Daniele Mundici;Le scienze;1990;SALA;;
INFORMATICA;Circuiti logici, circuiti integrati teoria applicazione;Francesco Grianti;Electronia design;1975;CORRIDOIO;;
INFORMATICA;Intelligenza artificiale un approccio moderno;Russell-Norvig;Prentice Hall;2014;CAMERA L;;
INFORMATICA;Introduction to Algorithms;Vari;PHI Learning;2015;CAMERA L;;
INFORMATICA;The C ++ programming language;bjarne Stroustrump;Addison-Wensley;2018;CAMERA L;;
LETTERATURA;Il Corsaro Nero;Emilio Salgari;Antonio Vallardi Editore;1928;SALA;;
LETTERATURA;Decameron;Giovanni Boccaccio;A. Birion Editore;1931;SALA;;
LETTERATURA;Centuria d'Amore;Amaruka;Marsilio Editore;1992;SALA;;
LETTERATURA;Doppio Sogno;Arthur Schnitzler;Adeplphi Editore;1998;SALA;;
LETTERATURA;Tutti i racconti 1897-1922;H.P. Lovecraft;Mondadori Editore;1993;SALA;;
LETTERATURA;Tutti i racconti 1923-1926;H.P. Lovecraft;Mondadori Editore;1994;SALA;;
LETTERATURA;Tutti i racconti 1927-1930;H.P. Lovecraft;Mondadori Editore;1994;SALA;;
LETTERATURA;L'arte di essere felici;Arthur Schopenhauer;Adeplphi Editore;1998;SALA;;
LETTERATURA;More tales from Shakespeare;Shakespeare;Longman;1985;SALA;;
LETTERATURA;Eros e Chronos;Giulio Galletto;Severgnini;1986;SALA;;
LETTERATURA;Adelchi;Alessandro Manzoni;Paravia;1947;SALA;;
LETTERATURA;Eliot Poesie;T.S. Eliot;Edizione CDE spa Milano;1993;SALA;;
LETTERATURA;Le avventure di Gordon Pym;E.A. Poe;Newton;1993;SALA;;
LETTERATURA;I malavoglia;Giovanni Verga;Newton;1993;SALA;;
LETTERATURA;I malavoglia;Giovanni Verga;Oscar Mondadori;1981;CORRIDOIO;;
LETTERATURA;Poesie;Giosuè Carducci;Salani Editore;1976;SALA;;
LETTERATURA;Critica della Ragion pura;Immanuel Kant;Adeplphi Editore;2001;SALA;;
LETTERATURA;La Mandragola;Niccolò Machiavelli;Signorelli Milano;1984;SALA;;
LETTERATURA;Quattro quartetti;T.S. Elliot;Garzanti Editore;1982;SALA;;
LETTERATURA;Giacomo Leopardi;Gian Carlo D'Adamo;Le Monnier;1980;SALA;;
LETTERATURA;Il piacere;Gabriele D'Annunzio;Mondadori Editore;1990;SALA;;
LETTERATURA;Fontamara;Ignazio Silone;Mondadori Editore;1974;SALA;;
LETTERATURA;Le centoventi giornate di Sodoma;De Sade;Les Edition de Minuit;1991;SALA;;
LETTERATURA;Alla ricerca del tempo perduto;Marcel Proust;Newton;1990;SALA;;
LETTERATURA;Cronache di guerra;George Orwell;Leonardo Editore;1985;SALA;;
LETTERATURA;Critica della Ragion Pura;Immanuel Kant;Editrice la scuola;1985;SALA;;
LETTERATURA;Il Conte di Montecristo;Alexandre Dumas;Libraria Editrice;2021;CORRIDOIO;;
LETTERATURA;Il nome della rosa;Umberto Eco;Fabbri Editore;1996;SALA;;
;;;;;;;
LETTERATURA;I malavoglia;Giovanni Verga;Mondadori Editore;1975;SALA;;
LETTERATURA;La strada per Roma;Paolo Volponi;Einaudi Editore;1991;SALA;;
LETTERATURA;Modern American short stories;Vari;Editrice la scuola;1977;SALA;;
LETTERATURA;A collection of British short stories;Vari;Editrice la scuola;1977;SALA;;
LETTERATURA;Pensieri  ;Giacomo Leopardi;Adeplphi Editore;1992;SALA;;
LETTERATURA;Psicologia della vita amorosa;Sigmund Freud;Newton;1984;SALA;;
LETTERATURA;Canti;Giacomo Leopardi;Mondadori Editore;1987;SALA;;
LETTERATURA;Il Decamerone vol II;Giovanni Boccaccio;Centro De diffusione cultura;1989;SALA;;
LETTERATURA;Il decamerone vol I;Giovanni Boccaccio;Centro De diffusione cultura;1989;SALA;;
LETTERATURA;Il pendolo di Focoult;Umberto Eco;Bompiani Editore;1996;SALA;;
LETTERATURA;Le avventure del barone di Munchhausen;Raspe e Burger;Grafica editoriale printing;2003;CORRIDOIO;;
LETTERATURA;Il Corsaro nero;Emilio Salgari;Grafica editoriale printing;2003;CORRIDOIO;;
LETTERATURA;David Copperfield;Charles Dickens;Grafica editoriale printing;2003;CORRIDOIO;;
LETTERATURA;Il giro del mondo in 80 giorni;Jules Verne;Grafica editoriale printing;2003;CORRIDOIO;;
LETTERATURA;Dalla terra alla luna;Jules Verne;Grafica editoriale printing;2003;CORRIDOIO;;
LETTERATURA;Cuore;Edmondo De Amicis;Crescere Edizioni;2021;CORRIDOIO;;
LETTERATURA;Guerra e pace;Lev Nicolaevic Tolstoj;Crescere Edizioni;2022;CORRIDOIO;;
LETTERATURA;I miserabili;Victor Hugo;Crescere Edizioni;2022;CORRIDOIO;;
LETTERATURA;L’isola misteriosa;Jules Verne;Crescere Edizioni;2019;CORRIDOIO;;
LETTERATURA;Ventimila leghe sotto i mari;Jules Verne;Il battello a vapore;2014;CORRIDOIO;;
LETTERATURA;I figli del Capitano Grant;Jules Verne;Crescere Edizioni;2018;CORRIDOIO;;
LETTERATURA;I viaggi di Gulliver;Jonathan Swift;Grafica editoriale printing;2003;CORRIDOIO;;
LETTERATURA;Robinson Crusoe ;Daniel De Foe;Grafica editoriale printing;2003;CORRIDOIO;;
LETTERATURA;I tre moschettieri;Alexandre Dumas;Grafica editoriale printing;2003;CORRIDOIO;;
LETTERATURA;Le avventure di Robin Hood;Alexandre Dumas;Grafica editoriale printing;2003;CORRIDOIO;;
LETTERATURA;Zanna Bianca;Jack London;Grafica editoriale printing;2003;CORRIDOIO;;
LETTERATURA;Il richiamo della foresta;Jack London;Grafica editoriale printing;2003;CORRIDOIO;;
LETTERATURA;Il libro della giungla;Rudjard Kipling;Grafica editoriale printing;2003;CORRIDOIO;;
LETTERATURA;Il pellegrinaggio in oriente;Hermann Hesse;Adeplphi Editore;1994;CORRIDOIO;;
LETTERATURA;Vita d'un uomo;Giuseppe Ungaretti;Oscar Mondadori;1973;CORRIDOIO;;
LETTERATURA;Francesco D'assisi;Hermann Hesse;Tascabili Newton;1993;CORRIDOIO;;
LETTERATURA;La bella estate;Cesare Pavese;Oscar Mondadori;1974;CORRIDOIO;;
LETTERATURA;L'amante di Lady Chatterley;David Herbert Lawrence;Crescere Edizioni;2022;CORRIDOIO;;
LETTERATURA;Madame Bovary;Gustave Flaubert;Crescere Edizioni;2022;CORRIDOIO;;
LETTERATURA;Lettera a un bambino mai nato;Oriana Fallaci;Rizzoli Editore;1975;CORRIDOIO;;
LETTERATURA;Anonimo veneziano;Giuseppe Berto;Rizzoli Editore;1984;CORRIDOIO;;
LETTERATURA;I fiori del male;Charles Baudelaire;Mondadori Editore;1989;CORRIDOIO;;
LETTERATURA;La Divina Commedia Inferno;Dante Alighieri;Le Monnier;1983;CORRIDOIO;;
LETTERATURA;La Divina Commedia Purgatorio;Dante Alighieri;Le Monnier;1983;CORRIDOIO;;
LETTERATURA;La Divina Commedia Paradiso;Dante Alighieri;Le Monnier;1983;CORRIDOIO;;
LETTERATURA;Rigoletto;Giuseppe Verdi;De Agostini Editore;1989;CORRIDOIO;;
LETTERATURA;Bel-Ami;Guy De Maupassant;Mondadori Editore;1993;CORRIDOIO;;
LETTERATURA;Una vita;Guy De Maupassant;Mondadori Editore;1993;CORRIDOIO;;
LETTERATURA;Ulisse;James Joyce;Mondadori Editore;1987;CORRIDOIO;;
LETTERATURA;Canto di natale;Charles Dickens;Rizzoli Editore;1994;CORRIDOIO;;
LETTERATURA;Romanzi e racconti;Oscar Wilde;Edizioni Casini;1987;CORRIDOIO;;
LETTERATURA;I promessi sposi e la storia della colonna infame;Alessandro Manzoni;Tramontana editore;1980;CORRIDOIO;;
LETTERATURA;Leggere i Promessi Sposi;Giorgio Petrocchi;Tramontana editore;1980;CORRIDOIO;;
LETTERATURA;Utopia and distopia;Vari;Editrice Ferrero;1988;CORRIDOIO;;
LETTERATURA;L'ultimo giorno di un condannato a morte;Victor Hugo;Newton;1993;CORRIDOIO;;
LETTERATURA;Invito alla lettura di Alvaro;Walter Mauro;Mursia;1973;CORRIDOIO;;
LETTERATURA;Il dialetto di Gulì;Claudio Marabini;Edizioni del girasole;1973;CORRIDOIO;;
LETTERATURA;Tragedie;Shaekspeare;S.A promocion;1985;CORRIDOIO;;
LETTERATURA;Poesie;Oscar Wilde;Newton;1991;CORRIDOIO;;
LETTERATURA;Il ritratto di Dorian Gray;Oscar Wilde;Newton;1993;CORRIDOIO;;
LETTERATURA;Novelle;Giovanni Verga;Mondadori Editore;1980;CORRIDOIO;;
LETTERATURA;Il canzoniere;Francesco Petrarca;Bietti;1966;CORRIDOIO;;
LETTERATURA;Le notti bianche;Feodor Dostojevski;Tascabili Newton;1994;CORRIDOIO;;
LETTERATURA;Siddharta;Hermann Hesse;Adeplphi Editore;1989;CORRIDOIO;;
LETTERATURA;Il segreto di Luca;Ignazio Silone;Mondadori Editore;2012;CORRIDOIO;;
LETTERATURA;L'inquisito;Giorgio Saviane;Tascabili Newton;1994;CORRIDOIO;;
LETTERATURA;La locandiera;Carlo Goldoni;Editrice la scuola;1981;CORRIDOIO;;
LETTERATURA;Benedetto Croce e la critica letteraria;Mario Pupo;Sansoni editore;1974;CORRIDOIO;;
LETTERATURA;Il Signore degli anelli;J.R.R. Tolkien;RCS Libri;2000;CORRIDOIO;;
LETTERATURA;C'era due volte il Barone lamberto;Gianni Rodari;Einaudi Editore;1979;CORRIDOIO;;
LETTERATURA;Marcovaldo;Italo Calvino;Einaudi Editore;1980;CORRIDOIO;;
LETTERATURA;Delitto e castigo;Feodor Dostojevski;Sape;1985;CORRIDOIO;;
LETTERATURA;Delitto e castigo;Feodor Dostojevski;Biblioteca Universale Rizzoli;1990;CORRIDOIO;;
LETTERATURA;I quarantanove racconti;Ernest Hemingway;Mondadori Editore;1979;CORRIDOIO;;
LETTERATURA;Notre dame de Paris;Victor Hugo;La biblioteca universale;2003;CORRIDOIO;;
LETTERATURA;Notre dame de Paris;Victor Hugo;La biblioteca universale;1996;CORRIDOIO;;
LETTERATURA;Poesie e prose scelte;Giovanni Pascoli;Edipem;1972;CORRIDOIO;;
LETTERATURA;Il buon vecchio e la bella fanciulla;Italo Svevo;Tascabili Newton;1975;CORRIDOIO;;
LETTERATURA;La profezia di Celestino;James Redfield;Casa editrice Corbaccio;2003;CORRIDOIO;;
LETTERATURA;La coscienza di Zeno;Italo Svevo;Garzanti Editore;1987;CORRIDOIO;;
LETTERATURA;Emma;Jane Austen;Garzanti Editore;1979;CORRIDOIO;;
LETTERATURA;Barttley the scrivaner;Herman Melville;Einaudi Editore;1994;CORRIDOIO;;
LETTERATURA;Ultime lettere di Jacopo Ortis;Ugo Foscolo;Bompiani;1988;CORRIDOIO;;
LETTERATURA;L'Infinito;Tiziano Scarpa;Einaudi Editore;2015;CORRIDOIO;;
LETTERATURA;Riccardo Cuor di Leone;Walter Scott;Loescher editore;1990;CORRIDOIO;;
LETTERATURA;Dracula;Bram Stoker;Longanesi;1976;CORRIDOIO;;
LETTERATURA;Pianto di stelle;Giovanni Pascoli;Pastelli;1995;CORRIDOIO;;
LETTERATURA;La Divina Commedia Purgatorio;Dante Alighieri;La nuova Italia editrice;1985;CORRIDOIO;;
LETTERATURA;La Divina Commedia Inferno;Dante Alighieri;La nuova Italia editrice;1985;CORRIDOIO;;
LETTERATURA;La Divina Commedia Paradiso;Dante Alighieri;La nuova Italia editrice;1989;CORRIDOIO;;
LETTERATURA;La Divina Commedia in prosa introduzione;Dante Alighieri;Edizione Samizdat;2008;CORRIDOIO;;
LETTERATURA;La Divina Commedia in prosa Inferno;Dante Alighieri;Edizione Samizdat;2008;3;;
LETTERATURA;La Divina Commedia in prosa Purgatorio;Dante Alighieri;Edizione Samizdat;2008;CORRIDOIO;;
LETTERATURA;La Divina Commedia Paradiso;Dante Alighieri;Edizione Samizdat;2008;CORRIDOIO;;
LETTERATURA;Il barone rampante;Italo Calvino;Mondadori Editore;2009;CORRIDOIO;;
LETTERATURA;Il fascismo degli antifascisti;Pier Paolo Pasolini;Garzanti Editore;2019;CORRIDOIO;;
LETTERATURA;Poesie 1924-1964;Pablo Neruda;Rizzoli Editore;1994;CORRIDOIO;;
LETTERATURA;A Christmas Carol;Charles Dickens;Litoprint;2003;CORRIDOIO;;
LETTERATURA;American Horror;Edgar Allan Poe;Litoprint;2010;CORRIDOIO;;
LETTERATURA;I promessi sposi  ;Alessandro Manzoni;La nuova Italia editrice;1975;CORRIDOIO;;
LETTERATURA;Storia della letterartura italiana vol IV;Salinari-Ricci;Laterza editore;1989;CORRIDOIO;;
LETTERATURA;Storia della letterartura italiana vol Iii;Salinari-Ricci;Laterza editore;1989;CORRIDOIO;;
LETTERATURA;Mondo in cammino vol I;Catagna-Desiderio;Signorelli Milano;1978;CORRIDOIO;;
LETTERATURA;Mondo in cammino vol II;Catagna-Desiderio;Signorelli Milano;1978;CORRIDOIO;;
LETTERATURA;Terenzio Adelphoe Heautotontimorumenos;Lisa Piazzi;Mondadori Editore;2017;CAMERA L;;
LINGUA;English;Vari;Vallcchi;1965;CORRIDOIO;;
LINGUA;Corso di lingua latina;Proto-Valenti;Le Monnier;1985;CORRIDOIO;;
LINGUA;Venti lezioni di latino;Andrea Bairati;G.B.Petrini;1985;CORRIDOIO;;
LINGUA;Grammar files;Jordan-Fiocchi;Trinity Whitebridge;2010;CORRIDOIO;;
LINGUA;Antologia della letteratura latina;Luciano Perelli;Paravia;1973;CORRIDOIO;;
LINGUA;Novantanove modi di dire in dialetto pesarese;Vari;Comune di Pesaro;1980;CORRIDOIO;;
LINGUA;Instant Spagnolo;Vari;Gribaudo;2023;CAMERA L;;
LINGUA;Classici latini Vol II;Vari;Le Monnier;1986;CORRIDOIO;;
LINGUA;Classici latini Vol I;Vari;Le Monnier;1986;CORRIDOIO;;
LINGUA;Classici latini Vol III;Vari;Le Monnier;1986;CORRIDOIO;;
LINGUA;Literature into language;Moretti-Sowden;Garzanti Editore;1987;CORRIDOIO;;
MANUALE;Survival;Matt Larsen;Demetra;2017;CORRIDOIO;;
MANUALE;Manuale edagricole per agronomi e geometri;Gualberto Porciani;Edagricole;1986;CORRIDOIO;;
MANUALE;La lira e la sua storia;Vari;Integral press;2003;CORRIDOIO;;
MANUALE;Gli esami del commerciante;Marinelli-Nicolao;Buffetti editore;1995;CORRIDOIO;;
MANUALE;Programma di educazione sessuale;Giommi-Perrotta;Mondadori Editore;1992;CORRIDOIO;;
MATEMATICA;Analisi matematica 1;Bramanti-Pagani-Salsa;ZANICHELLI;2020;CORRIDOIO;;
MATEMATICA;Analisi matematica 2;Bramanti-Pagani-Salsa;ZANICHELLI;2020;CORRIDOIO;;
MATEMATICA;L'ultimo teorema di Fermat;Simon Singh;Edizione CDE spa Milano;1998;SALA;;
MATEMATICA;L'equazione impossibile;Mario Livio;RCS Libri;2006;SALA;;
MATEMATICA;I principi della matematica;Bertrand Russell;Newton;1997;SALA;;
MATEMATICA;L'enigma dei numeri primi;Marcus Du Sautoy;RCS Libri;2005;SALA;;
MATEMATICA;Dove va la matematica;Keith Devlin;Boringhieri Editore;1988;SALA;;
MATEMATICA;La matematica della complessità;Vari;Le scienze;1992;SALA;;
MATEMATICA;Numeri , caso e sequenze;Roberto Magari;Le scienze;1988;SALA;;
MATEMATICA;Ttrigonometria piana;Faggioli/Dodero;Ghisetti e Corvi Editori;1985;SALA;;
MATEMATICA;Istituzioni di matematica vol I;Giuseppe Zwirner;Edizioni CEDAM;1995;CORRIDOIO;;
MATEMATICA;Istituzioni di matematica vol II;Giuseppe Zwirner;Edizioni CEDAM;1995;CORRIDOIO;;
MATEMATICA;Logaritmi;Brasca-Levi;Ghisetti e Corvi Editori;1984;CORRIDOIO;;
MATEMATICA;Lezioni di matematica generale;A. Myskis;Edizioni Mir;1979;CORRIDOIO;;
MATEMATICA;Istituzioni di matematica;Marcellini-Sbordone;Liguori editore;1986;CORRIDOIO;;
MATEMATICA;Logaritmi;Brasca-Levi;Ghisetti e Corvi Editori;1987;CORRIDOIO;;
MATEMATICA;Elementi di algebra geometria analitica e trigonometria;Vari;Ghisetti e Corvi Editori;1983;CORRIDOIO;;
MATEMATICA;Complementi di algebra;Giuseppe Zwirner;Cedam;1975;CORRIDOIO;;
MATEMATICA;Elementi di algebra  ;Vari;Ghisetti e Corvi Editori;1977;CORRIDOIO;;
MATEMATICA;Elementi di algebra;Vari;Ghisetti e Corvi Editori;1976;CORRIDOIO;;
MATEMATICA;Elementi di Algebra;Palatini-Faggioli;Ghisetti e Corvi Editori;1986;CORRIDOIO;;
MINERALOGIA;Rocce e minerali;Chris Pellant;DK;1999;CAMERA L;;
MUSICA;Mozart Sinfonia nr 1;vari;Curcio editore;1989;CORRIDOIO;;
MUSICA;Wagner;vari;Curcio editore;1989;CORRIDOIO;;
MUSICA;Brahms;vari;Curcio editore;1989;CORRIDOIO;;
MUSICA;Liszt;vari;Curcio editore;1989;CORRIDOIO;;
MUSICA;Mendelssohn;vari;Curcio editore;1989;CORRIDOIO;;
MUSICA;Chopin;vari;Curcio editore;1989;CORRIDOIO;;
MUSICA;Dvorak;vari;Curcio editore;1989;CORRIDOIO;;
MUSICA;Mozart Requiem k 626;vari;Curcio editore;1989;CORRIDOIO;;
MUSICA;Zelmira;Vari;Rossini opera festival;1995;CORRIDOIO;;
MUSICA;Bach;Vari;La Repubblica;1988;CORRIDOIO;;
MUSICA;I moderni;Vari;La Repubblica;1988;CORRIDOIO;;
MUSICA;L'opera;Vari;La Repubblica;1988;CORRIDOIO;;
MUSICA;Beethoven;Vari;La Repubblica;1988;CORRIDOIO;;
MUSICA;Mozart;Vari;La Repubblica;1988;CORRIDOIO;;
MUSICA;Educazione musicale;Bellonci-Pierucci;Edizioni La Pace;1978;CORRIDOIO;;
MUSICA;La musica di Godel;Franco Pollini;Il ponte vecchio;2007;CORRIDOIO;;
NARRATIVA;Il dubbio;Luciano De Crescenzo;Mondadori Editore;1992;SALA;;
NARRATIVA;Il paziente inglese;Michael Ondaatje;Garzanti Editore;1997;SALA;;
NARRATIVA;La voglia;Elfriede Jelinek;Mondadori Editore;2005;SALA;;
NARRATIVA;La visita;Andrea Monsagrati;San Decenzio Editore;2021;CORRIDOIO;;
NARRATIVA;Storia notturna;Carlo Ginzburg;Einaudi Editore;1991;SALA;;
NARRATIVA;Della morte dell'amore;Tiziano Sclavi;Camunia Editrice;1993;SALA;;
NARRATIVA;L'ultima verità;Robert Ludlum;Rizzoli Editore;1990;SALA;;
NARRATIVA;Va dove ti porta il cuore;Susanna Tamaro;Baldini & Castoldi;1995;SALA;;
NARRATIVA;Antiche sere;Norman Mailer;Edizione CDE spa Milano;1993;SALA;;
NARRATIVA;La Terra sotto i suoi piedi;Salman Rushdie;Mondadori Editore;1999;SALA;;
NARRATIVA;Viaggio nella magia;Cecila Gatoo Trocchi;La Terza Editore;1993;SALA;;
NARRATIVA;Archangel;Robert Harris;Mondadori Editore;1998;SALA;;
NARRATIVA;Destinazione cervello;Isaac Asimov;Mondadori Editore;1988;SALA;;
NARRATIVA;Il massaggio erotico;Andrew Yorke;Edizioni Acanthus;1988;SALA;;
NARRATIVA;Breviario indiano della felicità;Sconosciuto;Nuova Editrice Spada;1991;SALA;;
NARRATIVA;Il mago Ladino;Sconosciuto;Nuova Editrice Spada;1991;SALA;;
NARRATIVA;Le profezie dei mille e non più mille;Sconosciuto;Nuova Editrice Spada;1991;SALA;;
NARRATIVA;Le profezie della piramide;Sconosciuto;Nuova Editrice Spada;1991;SALA;;
NARRATIVA;Malachia e la Madonna di Fatima;Sconosciuto;Nuova Editrice Spada;1991;SALA;;
NARRATIVA;Il Dio dei nostri padri;Aldo Cazzullo;Harper Collins;2024;CORRIDOIO;;
NARRATIVA;Nostradamus;Nostradamus;Nuova Editrice Spada;1991;SALA;;
NARRATIVA;Bomba atomica;Roberto Mercadini;Rizzoli Editore;2021;CAMERA L;;
NARRATIVA;Il ragno nero;Sconosciuto;Nuova Editrice Spada;1991;SALA;;
NARRATIVA;Ricciardetto;Nicolò Carteromaco;Società tipografica ;1878;SALA;;
NARRATIVA;I mulini a vento degli dei;Sidney Sheldon;Sperling;1988;SALA;;
NARRATIVA;L'amore per la vita;Erich Fromm;Mondadori Editore;1983;SALA;;
NARRATIVA;Il gioco di Gerald;Stephen King;Edizione CDE spa Milano;1994;SALA;;
NARRATIVA;Rose Madder;Stephen King;Mondadori Editore;1999;CORRIDOIO;;
NARRATIVA;La cattedrale dell'anticristo;Fabio Delizzos;Newton;2011;SALA;;
NARRATIVA;Numeri forme e geometrie;Guy O Ven;Orsa maggiore;1991;SALA;;
NARRATIVA;Pesaro;Vari;Arti grafiche Federici;1985;SALA;;
NARRATIVA;Champagne Charlie;Joseph Henriot;Newton;1982;SALA;;
NARRATIVA;La globalizzazione dei sentimenti;Filippo Ferra;Pendagron;2002;SALA;;
NARRATIVA;Le cronache di Narnia;Clive Staples Lewis;Mondadori Editore;2022;CORRIDOIO;;
NARRATIVA;Il risveglio dell'animo;Filippo Ferra;Pendagron;2005;SALA;;
NARRATIVA;L'assassinio di Hitler;Henri Ludwigg;Longanesi;1967;SALA;;
